gene_symbol	entrez_id	method	cell_type	cell_line	cancer_cell	senescence_type	senescence_effect	description	organism
AAK1	22848	"Overexpression"	"Lung fibroblast, Embryonic kidney"	"IMR-90, MRC-5, HEK293T"	"No"	"Replicative"	"Promotes"	"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest."	"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest."
ABI3	51225	"Overexpression"	"Thyroid cancer, Colon cancer"	"WRO, ARO"	"Yes"	"Replicative"	"Promotes"	"Ectopic expression of ABI3 lowered transforming activity, reduced in vitro tumor growth properties, suppressed in vitro anchorage-independent growth and in vivo tumor formation, whilst also increasing cellular senescence. These responses were accompanied by upregulation of cell cycle inhibitor p21 and reduced ERK phosphorylation and E2F1 expression."	"Ectopic expression of ABI3 lowered transforming activity, reduced in vitro tumor growth properties, suppressed in vitro anchorage-independent growth and in vivo tumor formation, whilst also increasing cellular senescence. These responses were accompanied by upregulation of cell cycle inhibitor p21 and reduced ERK phosphorylation and E2F1 expression."
ACLY	47	"Knockout"	"Dermal fibroblast"	"Primary cell"	"No"	"Replicative"	"Inhibits"	"ACLY knockdown in primary human cells triggered cellular senescence and activation of tumor suppressor p53. Provision of acetyl CoA to ACLY knockdown cells did not alleviate ACLY silencing-induced p53 activation, suggesting an independent role for ACLY activity."	"ACLY knockdown in primary human cells triggered cellular senescence and activation of tumor suppressor p53. Provision of acetyl CoA to ACLY knockdown cells did not alleviate ACLY silencing-induced p53 activation, suggesting an independent role for ACLY activity."
ADCK5	203054	"Overexpression"	"Embryonic kidney, Lung fibroblast"	"IMR-90, MRC-5, HEK293T"	"No"	"Replicative"	"Promotes"	"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest."	"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest."
AGT	183	"Overexpression, Knockout"	"Vascular smooth muscle"	"Primary cell"	"No"	"Replicative"	"Promotes"	"Treatment with Ang II (AGT) of vascular smooth muscle cells significantly induced premature senescence (including increased SA-beta galactosidase activity) via the p53/p21-dependent pathway."	"Treatment with Ang II (AGT) of vascular smooth muscle cells significantly induced premature senescence (including increased SA-beta galactosidase activity) via the p53/p21-dependent pathway."
AKR1B1	231	"Overexpression, Knockdown"	"Keratinocyte"	"HaCat"	"Yes"	"Stress-induced"	"Inhibits"	"Overexpression of aldose reductase (AKR1B1) in HaCaT cells attenuated UVB-induced cellular damage and apoptosis, with a decreased generation of reactive oxygen species (ROS) and aldehydes - RNA interference or inhibition of aldose reductase abolished these effects."	"Overexpression of aldose reductase (AKR1B1) in HaCaT cells attenuated UVB-induced cellular damage and apoptosis, with a decreased generation of reactive oxygen species (ROS) and aldehydes - RNA interference or inhibition of aldose reductase abolished these effects."
AKT1	207	"Overexpression"	"Aortic endothelial, Umbilical vein endothelial, Dermal microvascular endothelial cells"	"Primary cell"	"No"	"Oncogene-induced"	"Promotes"	"Expression of constitutively activated AKT1 in endothelial cells promoted senescence-like growth arrest with the cells displaying enlarged, flattened morphology and increased SA-beta-galactosidase activity. This senescence effect was dependent on the p53/p21 pathway."	"Expression of constitutively activated AKT1 in endothelial cells promoted senescence-like growth arrest with the cells displaying enlarged, flattened morphology and increased SA-beta-galactosidase activity. This senescence effect was dependent on the p53/p21 pathway."
ALOX15B	247	"Overexpression"	"Prostate epithelial"	"Primary cell"	"No"	"Replicative"	"Promotes"	"Expression of 15-LOX2 (ALOX15B) or its splice variants drove a fraction of young normal human prostate cells to cell-cycle arrest and cell senescence."	"Expression of 15-LOX2 (ALOX15B) or its splice variants drove a fraction of young normal human prostate cells to cell-cycle arrest and cell senescence."
AR	367	"Overexpression, Knockdown"	"Hair follicular keratinocyte"	"Primary cell"	"No"	"Replicative"	"Promotes"	"Overexpression of the androgen receptor (AR) promoted androgen-induced premature senescence in association with p16 upregulation, whereas AR knockdown diminished the effects of androgen."	"Overexpression of the androgen receptor (AR) promoted androgen-induced premature senescence in association with p16 upregulation, whereas AR knockdown diminished the effects of androgen."
ARPC1B	10095	"Overexpression"	"Osteosarcoma"	"SaOs-2"	"Yes"	"Replicative"	"Promotes"	"Overexpression of p41-Arc (ARPC1B) induced a senescent phenotype in SaOs-2 osteosarcoma cells, which are deficient in p53 and Rb tumor suppressor genes, implying that p41 can induce senescence in a p53-independent manner."	"Overexpression of p41-Arc (ARPC1B) induced a senescent phenotype in SaOs-2 osteosarcoma cells, which are deficient in p53 and Rb tumor suppressor genes, implying that p41 can induce senescence in a p53-independent manner."
