HGNC ID	Approved Symbol	Approved Name	Status	Previous Symbols	Synonyms	Chromosome	Accession Numbers	RefSeq IDs	Entrez Gene ID(supplied by NCBI)
HGNC:5	A1BG	alpha-1-B glycoprotein	Approved			19q13.43		NM_130786	1
HGNC:37133	A1BG-AS1	A1BG antisense RNA 1	Approved	NCRNA00181, A1BGAS, A1BG-AS	FLJ23569	19q13.43	BC040926	NR_015380	503538
HGNC:24086	A1CF	APOBEC1 complementation factor	Approved		ACF, ASP, ACF64, ACF65, APOBEC1CF	10q11.23	AF271790	NM_014576	29974
HGNC:7	A2M	alpha-2-macroglobulin	Approved		FWP007, S863-7, CPAMD5	12p13.31	BX647329, X68728, M11313	NM_000014	2
HGNC:27057	A2M-AS1	A2M antisense RNA 1 (head to head)	Approved			12p13.31		NR_026971	144571
HGNC:23336	A2ML1	alpha-2-macroglobulin like 1	Approved	CPAMD9	FLJ25179, p170	12p13.31	AK057908	NM_144670	144568
HGNC:41022	A2ML1-AS1	A2ML1 antisense RNA 1	Approved			12p13.31			100874108
HGNC:41523	A2ML1-AS2	A2ML1 antisense RNA 2	Approved			12p13.31			106478979
HGNC:8	A2MP1	alpha-2-macroglobulin pseudogene 1	Approved	A2MP		12p13.31	M24415	NG_001067	3
HGNC:30005	A3GALT2	alpha 1,3-galactosyltransferase 2	Approved	A3GALT2P	IGBS3S, IGB3S	1p35.1		NM_001080438	127550
HGNC:18149	A4GALT	alpha 1,4-galactosyltransferase (P blood group)	Approved	P1	A14GALT, Gb3S, P(k)	22q13.2		NM_017436	53947
HGNC:17968	A4GNT	alpha-1,4-N-acetylglucosaminyltransferase	Approved		alpha4GnT	3q22.3	AF141315	NM_016161	51146
HGNC:13666	AAAS	aladin WD repeat nucleoporin	Approved			12q13.13	AJ289841		8086
HGNC:21298	AACS	acetoacetyl-CoA synthetase	Approved		FLJ12389, SUR-5, ACSF1	12q24.31	AK022451	NM_023928	65985
HGNC:18226	AACSP1	acetoacetyl-CoA synthetase pseudogene 1	Approved	AACSL		5q35.3		NR_024035	729522
HGNC:17	AADAC	arylacetamide deacetylase	Approved		DAC, CES5A1	3q25.1	L32179	NM_001086	13
HGNC:24427	AADACL2	arylacetamide deacetylase like 2	Approved		MGC72001	3q25.1	BC065724	NM_207365	344752
HGNC:50301	AADACL2-AS1	AADACL2 antisense RNA 1	Approved			3q25.1			101928142
HGNC:32037	AADACL3	arylacetamide deacetylase like 3	Approved		OTTHUMG00000001887	1p36.21		NM_001103170	126767
HGNC:32038	AADACL4	arylacetamide deacetylase like 4	Approved		OTTHUMG00000001889	1p36.21		NM_001013630	343066
HGNC:50305	AADACP1	arylacetamide deacetylase pseudogene 1	Approved			3q25.1			201651
HGNC:17929	AADAT	aminoadipate aminotransferase	Approved		KATII, KAT2, KYAT2	4q33	AF097994	NM_016228	51166
HGNC:16881	AAED1	AhpC/TSA antioxidant enzyme domain containing 1	Approved	C9orf21		9q22.33	BK000255	NM_153698	195827
HGNC:25662	AAGAB	alpha and gamma adaptin binding protein	Approved		FLJ11506, p34	15q23	AL136715	NM_024666	79719
HGNC:19679	AAK1	AP2 associated kinase 1	Approved		KIAA1048, DKFZp686K16132	2p13.3	AB028971	NM_014911	22848
HGNC:30205	AAMDC	adipogenesis associated Mth938 domain containing	Approved	C11orf67	PTD015, FLJ21035, CK067	11q14.1	BC016854	NM_024684	28971
HGNC:18	AAMP	angio associated migratory cell protein	Approved			2q35	AB209790	NM_001087	14
HGNC:19	AANAT	aralkylamine N-acetyltransferase	Approved		SNAT	17q25.1	U40347	NM_001088	15
HGNC:15886	AAR2	AAR2 splicing factor homolog	Approved	C20orf4	bA234K24.2	20q11.23		NM_015511	25980
HGNC:33842	AARD	alanine and arginine rich domain containing protein	Approved	C8orf85	LOC441376	8q24.11	AB181519, BC140924	NM_001025357	441376
HGNC:20	AARS	alanyl-tRNA synthetase	Approved		CMT2N, AlaRS	16q22.1	D32050	NM_001605	16
HGNC:21022	AARS2	alanyl-tRNA synthetase 2, mitochondrial	Approved	AARSL	KIAA1270, bA444E17.1	6p21.1	AB033096	NM_020745	57505
HGNC:28417	AARSD1	alanyl-tRNA synthetase domain containing 1	Approved		MGC2744	17q21.31	BC004172	NM_001261434	80755
HGNC:49894	AARSP1	alanyl-tRNA synthetase pseudogene 1	Approved			4q28.3			106480683
HGNC:23993	AASDH	aminoadipate-semialdehyde dehydrogenase	Approved		NRPS998, LYS2, ACSF4	4q12	AF516672	NM_181806	132949
HGNC:14235	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	Approved		LYS5, CGI-80, AASD-PPT, ACPS	11q22.3	AF302110	NM_015423	60496
HGNC:17366	AASS	aminoadipate-semialdehyde synthase	Approved		LORSDH, LKRSDH	7q31.32	AF229180	NM_005763	10157
HGNC:51526	AATBC	apoptosis associated transcript in bladder cancer	Approved			21q22.3		NR_026961	284837
HGNC:19235	AATF	apoptosis antagonizing transcription factor	Approved		DED, CHE-1, CHE1, BFR2	17q12	AF083208	NM_012138	26574
HGNC:21	AATK	apoptosis associated tyrosine kinase	Approved		AATYK, KIAA0641, LMTK1, LMR1, AATYK1, PPP1R77	17q25.3	AB014541	NM_004920	9625
HGNC:22	AAVS1	adeno-associated virus integration site 1	Approved		AAV	19q13	S51329		17
